1	1	1	1
2	3	2	1
3	5	3	1
4	7	4	1
5	9	5	1
6	11	6	1
7	13	7	1
8	15	8	1
9	17	9	1
10	19	10	1
11	21	11	1
12	23	12	1
13	25	13	1
11	23	14	1
9	21	15	1
7	19	16	1
5	17	17	1
3	15	18	1
6	13	19	1
9	11	20	1
12	9	21	1
15	7	22	1
18	5	23	1
21	3	22	1
24	1	21	1
2	2	20	1
3	3	19	1
4	4	18	1
5	5	17	1
6	6	16	1
7	7	15	1
8	8	14	1
9	9	13	1
10	10	12	1
11	11	11	1
12	12	10	1
13	13	9	1
14	14	8	1
15	15	7	1
16	16	6	1
17	17	5	1
14	16	4	1
11	15	3	1
8	14	2	1
5	13	1	1
2	12	0	1
0	1	-1	1
-1	0	-2	0
-2	-1	-3	0
-3	-2	-4	0
-4	-3	-5	0
-5	-4	-6	0
-6	-5	-7	0
-7	-6	-8	0
-8	-7	-9	0
-9	-8	-10	0
-10	-9	-11	0
-11	-10	-12	0
-12	-11	-13	0
-13	-12	-14	0
-14	-13	-15	0
-15	-14	-16	0
-16	-15	-17	0
-17	-16	-18	0
-18	-17	-19	0
-19	-18	-20	0
-20	-19	-21	0
-21	-20	-22	0
-22	-21	-23	0
-23	-22	-24	0
0	1	-1	1
-1	1	1	0
0	0	5	0
0	0	-5	1
1	1	-1	1
-2	-2	1	0
1	1	15	1
-12	0	-12	0
-5	0	-5	0
-5	0	-10	0
-5	0	-20	0
-2	0	-30	1
-1	-2	-29	1
0	-4	-28	0
1	-6	-27	0
2	-8	-26	0
3	-10	-25	0
4	-12	-24	0
5	-14	-23	0
6	-16	-22	0
7	-18	-21	0
8	-20	-20	0
9	-22	-19	0
10	-24	-18	0
11	-26	-17	0
12	-28	-16	0
13	-30	-15	0
14	-32	-14	0
15	-34	-13	0
16	-36	-12	0
17	-38	-11	0
18	-40	-10	0
19	-42	-9	0
20	-44	-8	0
21	-46	-7	0
22	-48	-6	0
23	-50	-5	0
24	-52	-4	0
25	-54	-3	0
26	-56	-2	0
27	-58	-1	0
28	-60	0	0
29	-62	1	0
30	-64	2	0
31	-66	3	0
32	-68	4	0
33	-70	5	0
34	-72	6	0
35	-74	7	0
36	-76	8	0
37	-78	9	0
38	-80	10	0
39	-82	11	0
40	-84	12	0
41	-86	13	0
42	-88	14	0
43	-90	15	0
44	-92	16	0
45	-94	17	0
46	-96	18	0
47	-98	19	0
48	-100	20	0
49	-102	21	0
50	-104	22	0
51	-106	23	0
52	-108	24	0
53	-110	25	0
54	-112	26	0
55	-114	27	0
56	-116	28	0
57	-118	29	0
58	-120	30	0
59	-122	31	0
60	-124	32	0
61	-126	33	0
62	-128	34	0
63	-130	35	0
64	-132	36	0
65	-134	37	0
66	-136	38	0
67	-138	39	0
68	-140	40	0
69	-142	41	0
70	-144	42	0
71	-146	43	0
72	-148	44	0
73	-150	45	0
74	-152	46	0
